model_name,model_slug,intelligence_index,coding_index,agentic_index,list_price_in,list_price_out,fixture_name,fixture_category,fixture_char_count,input_tokens_billed,output_tokens_billed,reasoning_tokens,total_tokens_billed,multiplier_input,multiplier_output,provider_served,execution_duration_sec,total_cost_billed,cost_per_mb,hypothetical_cost_per_mb,effective_cost_per_mtok
AionLabs: Aion-2.0,aion-labs/aion-2.0,,,,0.8,1.6,agent-system-prompt.txt,prose,28296,6068,4271,4850,10339,0.2144,0.1509,AionLabs,53.588,0.011688,0.433127,0.433127,1.1305
AionLabs: Aion-2.0,aion-labs/aion-2.0,,,,0.8,1.6,architecture.md,markdown,38413,10512,4237,5079,14749,0.2737,0.1103,AionLabs,52.888,0.0151888,0.358683,0.358683,1.0298
AionLabs: Aion-2.0,aion-labs/aion-2.0,,,,0.8,1.6,backend-api.py,python,15571,3626,4570,4140,8196,0.2329,0.2935,AionLabs,62.088,0.0102128,0.687481,0.687481,1.2461
AionLabs: Aion-2.0,aion-labs/aion-2.0,,,,0.8,1.6,openapi-spec.json,json,21715,5871,1120,1026,6991,0.2704,0.0516,AionLabs,18.007,0.0064888,0.313274,0.313274,0.9282
AionLabs: Aion-2.0,aion-labs/aion-2.0,,,,0.8,1.6,react-component.tsx,typescript,12332,3225,4331,3907,7556,0.2615,0.3512,AionLabs,62.683,0.0095096,0.808197,0.808197,1.2585
AionLabs: Aion-3.0,aion-labs/aion-3.0,,,,3.0,6.0,agent-system-prompt.txt,prose,28296,5856,484,259,6340,0.207,0.0171,AionLabs,11.794,0.020472,0.758639,0.758639,3.229
AionLabs: Aion-3.0,aion-labs/aion-3.0,,,,3.0,6.0,architecture.md,markdown,38413,10318,990,867,11308,0.2686,0.0258,AionLabs,16.858,0.036894,0.871251,0.871251,3.2626
AionLabs: Aion-3.0,aion-labs/aion-3.0,,,,3.0,6.0,backend-api.py,python,15571,3258,4410,4315,7668,0.2092,0.2832,AionLabs,78.525,0.036234,2.439116,2.439116,4.7254
AionLabs: Aion-3.0,aion-labs/aion-3.0,,,,3.0,6.0,openapi-spec.json,json,21715,5370,1862,1483,7232,0.2473,0.0857,AionLabs,32.032,0.027282,1.317153,1.317153,3.7724
AionLabs: Aion-3.0,aion-labs/aion-3.0,,,,3.0,6.0,react-component.tsx,typescript,12332,3028,565,453,3593,0.2455,0.0458,AionLabs,14.555,0.012474,1.060134,1.060134,3.4718
AionLabs: Aion-3.0-Mini,aion-labs/aion-3.0-mini,,,,0.7,1.4,agent-system-prompt.txt,prose,28296,6068,4215,4397,10283,0.2144,0.149,AionLabs,64.549,0.0101486,0.376081,0.376081,0.9869
AionLabs: Aion-3.0-Mini,aion-labs/aion-3.0-mini,,,,0.7,1.4,architecture.md,markdown,38413,10512,4252,5462,14764,0.2737,0.1107,AionLabs,65.059,0.0133112,0.314344,0.314344,0.9016
AionLabs: Aion-3.0-Mini,aion-labs/aion-3.0-mini,,,,0.7,1.4,backend-api.py,python,15571,3626,4671,4150,8297,0.2329,0.3,AionLabs,66.908,0.0090776,0.611065,0.611065,1.0941
AionLabs: Aion-3.0-Mini,aion-labs/aion-3.0-mini,,,,0.7,1.4,openapi-spec.json,json,21715,5871,740,621,6611,0.2704,0.0341,AionLabs,9.345,0.0051457,0.24843,0.24843,0.7784
AionLabs: Aion-3.0-Mini,aion-labs/aion-3.0-mini,,,,0.7,1.4,react-component.tsx,typescript,12332,3225,4370,4143,7595,0.2615,0.3544,AionLabs,62.341,0.0083755,0.711813,0.711813,1.1028
Anthropic: Claude Fable 5,anthropic/claude-fable-5,59.9,76.5,52.8,10.0,50.0,agent-system-prompt.txt,prose,28296,9715,815,56,10530,0.3433,0.0288,Amazon Bedrock,12.43,0.1379,5.110215,5.110215,13.0959
Anthropic: Claude Fable 5,anthropic/claude-fable-5,59.9,76.5,52.8,10.0,50.0,architecture.md,markdown,38413,16131,1209,30,17340,0.4199,0.0315,Amazon Bedrock,15.102,0.22176,5.236858,5.236858,12.7889
Anthropic: Claude Fable 5,anthropic/claude-fable-5,59.9,76.5,52.8,10.0,50.0,backend-api.py,python,15571,5967,5,0,5972,0.3832,0.0003,Amazon Bedrock,3.674,0,0.0,4.033554,0.0
Anthropic: Claude Fable 5,anthropic/claude-fable-5,59.9,76.5,52.8,10.0,50.0,openapi-spec.json,json,21715,9387,919,70,10306,0.4323,0.0423,Amazon Bedrock,16.031,0.13982,6.750398,6.750398,13.5669
Anthropic: Claude Fable 5,anthropic/claude-fable-5,59.9,76.5,52.8,10.0,50.0,react-component.tsx,typescript,12332,5043,2415,228,7458,0.4089,0.1958,Amazon Bedrock,36.863,0.17118,14.548163,14.548163,22.9525
Anthropic: Claude Opus 4.6,anthropic/claude-opus-4.6,,,,5.0,25.0,agent-system-prompt.txt,prose,28296,6634,841,0,7475,0.2345,0.0297,Anthropic,17.958,0.054195,2.008325,2.008325,7.2502
Anthropic: Claude Opus 4.6,anthropic/claude-opus-4.6,,,,5.0,25.0,architecture.md,markdown,38413,12372,396,0,12768,0.3221,0.0103,Anthropic,9.636,0.07176,1.694611,1.694611,5.6203
